Initializing POSE...  
6 5905 5920
6 5920 5935
6 5935 5960
6 5960 5975
6 5975 6000
6 6000 6025
6 6025 6040
6 6040 6055
6 6055 6070
6 6070 6085
10 5795 5820
10 5820 5835
10 5835 5850
10 5850 5865
10 5865 5880
10 5880 5895
10 5895 5910
10 5910 5925
10 5925 5940
10 5940 5955
10 5955 5970
10 5970 5985
10 5985 6000
10 6000 6015
10 6015 6030
10 6030 6045
10 6045 6060
10 6060 6085
10 6085 6100
10 6100 6115
10 6115 6130
10 6130 6145
10 6145 6170
14 5790 5815
14 5815 5830
14 5830 5855
14 5855 5880
14 5880 5895
14 5895 5920
14 5920 5935
14 5935 5950
14 5950 5965
14 5965 5990
14 5990 6005
14 6005 6020
14 6020 6035
14 6035 6050
14 6050 6075
14 6075 6090
14 6090 6105
14 6105 6120
14 6120 6135
14 6135 6150
4 6080 6105
4 6200 6225
11 5840 5855
11 5855 5870
11 5870 5895
11 5895 5910
11 5910 5925
11 5925 5940
11 5940 5955
11 5955 5970
11 5970 5985
11 5985 6000
11 6000 6015
11 6015 6030
11 6030 6055
11 6055 6070
11 6070 6095
11 6095 6110
11 6110 6135
11 6135 6150
11 6150 6165
11 6165 6190
12 5825 5840
12 5840 5855
12 5855 5880
12 5880 5905
12 5905 5930
12 5930 5945
12 5945 5970
12 5970 5985
12 5985 6000
12 6000 6025
12 6025 6040
12 6040 6055
12 6055 6070
12 6070 6085
12 6085 6110
12 6110 6135
12 6135 6150
12 6150 6165
12 6165 6180
12 6180 6205
5 5905 5930
5 5930 5945
5 5945 5960
5 5960 5975
5 5975 5990
5 5990 6005
5 6005 6020
5 6020 6035
5 6035 6050
5 6050 6065
5 6065 6080
5 6080 6095
5 6095 6120
5 6120 6135
5 6135 6150
5 6150 6165
5 6165 6180
5 6180 6195
5 6195 6210
5 6210 6225
5 6225 6240
5 6240 6255
5 6255 6270
5 6270 6285
5 6285 6300
5 6300 6315
7 5960 5975
7 5975 5990
7 5990 6005
7 6005 6020
7 6020 6035
7 6035 6050
7 6050 6065
7 6065 6080
7 6080 6105
7 6105 6120
7 6120 6135
7 6135 6160
7 6160 6185
7 6185 6210
7 6210 6235
7 6235 6250
7 6250 6265
7 6265 6280
7 6280 6295
7 6295 6320
0 5955 5980
0 5980 6005
0 6005 6030
0 6030 6045
0 6045 6060
0 6060 6075
0 6075 6090
0 6090 6105
0 6105 6120
0 6120 6145
0 6145 6170
0 6170 6195
0 6195 6210
0 6210 6235
0 6255 6270
0 6270 6295
0 6295 6320
0 6320 6335
0 6335 6360
0 6360 6385
0 6385 6410
0 6410 6425
1 6125 6140
1 6140 6155
1 6155 6170
1 6170 6185
1 6185 6200
1 6200 6225
1 6225 6240
1 6240 6255
1 6255 6270
1 6270 6285
1 6285 6300
1 6300 6315
1 6315 6330
1 6330 6345
1 6345 6360
1 6360 6385
3 5875 5890
3 5890 5905
3 5905 5920
3 5920 5935
3 5935 5950
3 5950 5965
3 5965 5980
3 5980 5995
3 5995 6020
3 6020 6035
3 6035 6050
3 6050 6075
3 6075 6090
3 6090 6105
3 6105 6130
3 6130 6145
3 6145 6160
3 6160 6175
3 6175 6200
3 6200 6225
3 6225 6250
3 6250 6265
3 6265 6280
3 6280 6305
3 6305 6320
3 6320 6345
3 6345 6360
3 6360 6375
8 6055 6080
8 6080 6095
8 6095 6120
8 6120 6135
8 6135 6160
8 6160 6185
8 6185 6200
8 6200 6215
8 6215 6230
8 6230 6255
8 6255 6270
8 6270 6295
8 6295 6310
8 6310 6335
8 6335 6360
8 6360 6375
8 6375 6390
8 6390 6405
8 6405 6420
8 6420 6435
8 6435 6450
13 6010 6025
13 6025 6050
13 6050 6065
13 6065 6090
13 6090 6105
13 6105 6120
13 6120 6135
13 6135 6160
13 6160 6175
13 6175 6190
13 6190 6205
13 6205 6230
13 6230 6255
13 6255 6270
13 6270 6285
13 6285 6310
13 6310 6335
13 6335 6350
13 6350 6375
13 6375 6390
13 6390 6405
15 6025 6040
15 6040 6055
15 6055 6070
15 6070 6085
15 6085 6110
15 6110 6135
15 6135 6150
15 6150 6175
15 6175 6190
15 6190 6205
15 6205 6220
15 6220 6245
15 6245 6270
15 6270 6285
15 6285 6300
15 6300 6315
15 6315 6330
15 6330 6345
15 6345 6360
15 6360 6385
15 6385 6400
15 6400 6415
15 6415 6430
2 6115 6130
2 6130 6145
2 6145 6160
2 6160 6175
2 6175 6190
2 6190 6205
2 6205 6220
2 6220 6235
2 6235 6250
2 6250 6265
2 6265 6290
2 6290 6305
2 6305 6330
2 6330 6345
2 6345 6360
2 6360 6375
2 6375 6390
2 6390 6415
2 6415 6440
2 6440 6455
2 6455 6470
2 6470 6495
2 6495 6510
2 6510 6525
2 6525 6550
2 6550 6565
6 6085 6110
6 6110 6135
6 6135 6150
6 6150 6175
6 6175 6190
6 6190 6205
6 6205 6230
6 6230 6255
6 6255 6270
6 6270 6285
6 6285 6310
6 6310 6335
6 6335 6350
6 6350 6365
6 6365 6380
6 6380 6405
6 6405 6430
6 6430 6445
6 6445 6470
6 6470 6495
6 6495 6510
6 6510 6525
6 6525 6540
9 6040 6065
9 6065 6090
9 6090 6105
9 6105 6120
9 6120 6135
9 6135 6160
9 6160 6175
9 6175 6200
9 6200 6215
9 6215 6230
9 6230 6245
9 6245 6260
9 6260 6285
9 6285 6300
9 6300 6325
9 6325 6340
9 6340 6365
9 6365 6390
9 6390 6415
9 6415 6430
9 6430 6455
9 6455 6480
9 6480 6505
1 6385 6410
1 6410 6435
1 6435 6450
1 6450 6465
1 6465 6480
1 6480 6505
1 6505 6520
1 6520 6545
1 6545 6560
1 6560 6585
1 6585 6610
1 6610 6625
1 6625 6640
7 6320 6335
7 6335 6350
7 6350 6375
7 6375 6390
7 6390 6405
7 6405 6420
7 6420 6445
7 6445 6470
7 6470 6485
7 6485 6500
7 6500 6515
7 6515 6530
7 6530 6555
7 6555 6570
7 6570 6595
7 6595 6610
7 6610 6625
7 6625 6640
7 6640 6665
10 6170 6185
10 6185 6200
10 6200 6225
10 6225 6250
10 6250 6275
10 6275 6290
10 6290 6315
10 6315 6330
10 6330 6345
10 6345 6360
10 6360 6375
10 6375 6390
10 6390 6405
10 6405 6430
10 6430 6445
10 6445 6460
10 6460 6485
10 6485 6500
10 6500 6515
10 6515 6530
10 6530 6545
10 6545 6560
10 6560 6575
10 6575 6590
11 6190 6215
11 6215 6240
11 6240 6255
11 6255 6270
11 6270 6295
11 6295 6310
11 6310 6325
11 6325 6340
11 6340 6355
11 6355 6370
11 6370 6395
11 6395 6420
11 6420 6435
11 6435 6450
11 6450 6465
11 6465 6480
11 6480 6505
11 6505 6520
11 6520 6545
11 6545 6560
11 6560 6575
11 6575 6590
11 6590 6615
11 6615 6630
12 6205 6230
12 6230 6245
12 6245 6270
12 6270 6295
12 6295 6310
12 6310 6335
12 6335 6350
12 6350 6375
12 6375 6400
12 6400 6425
12 6425 6450
12 6450 6465
12 6465 6490
12 6490 6515
12 6515 6530
12 6530 6555
12 6555 6570
12 6570 6585
12 6585 6610
14 6150 6165
14 6165 6180
14 6180 6205
14 6205 6230
14 6230 6255
14 6255 6270
14 6270 6295
14 6295 6320
14 6320 6345
14 6345 6370
14 6370 6395
14 6395 6410
14 6410 6425
14 6425 6440
14 6440 6455
14 6455 6480
14 6480 6495
14 6495 6520
14 6520 6535
14 6535 6560
14 6560 6575
14 6575 6600
0 6425 6440
0 6440 6455
0 6455 6470
0 6470 6495
0 6500 6515
0 6515 6530
0 6530 6555
0 6555 6580
0 6645 6660
0 6660 6675
0 6675 6700
0 6700 6725
0 6725 6750
0 6750 6775
0 6775 6800
0 6800 6815
0 6815 6840
0 6840 6865
4 6520 6545
4 6665 6690
5 6315 6330
5 6330 6345
5 6345 6370
5 6370 6385
5 6385 6410
5 6410 6425
5 6425 6440
5 6440 6455
5 6455 6470
5 6470 6495
5 6495 6520
5 6520 6535
5 6535 6550
5 6550 6565
5 6565 6580
5 6580 6595
5 6595 6610
5 6610 6625
5 6625 6650
5 6650 6665
5 6665 6680
5 6680 6695
5 6695 6710
5 6710 6725
5 6725 6740
5 6740 6755
5 6755 6770
5 6770 6795
8 6450 6465
8 6465 6480
8 6480 6495
8 6495 6520
8 6520 6535
8 6535 6560
8 6560 6575
8 6575 6600
8 6600 6625
8 6625 6640
8 6640 6655
8 6655 6680
8 6680 6695
8 6695 6720
8 6720 6735
8 6735 6750
8 6750 6775
8 6775 6790
8 6790 6815
8 6815 6830
8 6830 6855
13 6405 6420
13 6420 6445
13 6445 6470
13 6470 6495
13 6495 6510
13 6510 6525
13 6525 6540
13 6540 6555
13 6555 6580
13 6580 6605
13 6605 6620
13 6620 6645
13 6645 6660
13 6660 6675
13 6675 6690
13 6690 6705
13 6705 6730
13 6730 6745
13 6745 6760
13 6760 6775
13 6775 6790
13 6790 6805
15 6430 6445
15 6445 6460
15 6460 6475
15 6475 6490
15 6490 6515
15 6515 6530
15 6530 6545
15 6545 6560
15 6560 6585
15 6585 6600
15 6600 6615
15 6615 6630
15 6630 6655
15 6655 6670
15 6670 6685
15 6685 6700
15 6700 6715
15 6715 6730
15 6730 6755
15 6755 6770
15 6770 6795
15 6795 6820
1 6640 6655
1 6655 6670
1 6670 6685
1 6685 6700
1 6700 6715
1 6715 6730
1 6730 6745
1 6745 6770
1 6770 6785
1 6785 6800
1 6800 6825
1 6825 6850
1 6850 6865
1 6865 6880
1 6880 6895
1 6895 6910
2 6565 6590
2 6590 6615
2 6615 6640
2 6640 6655
2 6655 6670
2 6670 6685
2 6685 6710
2 6710 6725
2 6725 6740
2 6740 6755
2 6755 6780
2 6780 6795
2 6795 6810
2 6810 6825
2 6825 6840
2 6840 6865
2 6865 6880
2 6880 6895
2 6895 6910
2 6910 6925
2 6925 6940
2 6940 6955
2 6955 6970
3 6375 6400
3 6400 6425
3 6425 6440
3 6440 6465
3 6465 6480
3 6480 6505
3 6505 6530
3 6530 6555
3 6555 6580
3 6580 6605
3 6605 6620
3 6620 6645
3 6645 6670
3 6670 6695
3 6695 6710
3 6710 6725
3 6725 6740
3 6740 6755
3 6755 6780
3 6780 6795
3 6795 6820
3 6820 6845
3 6845 6860
3 6860 6875
3 6875 6890
9 6505 6530
9 6530 6555
9 6555 6580
9 6580 6595
9 6595 6610
9 6610 6625
9 6625 6650
9 6650 6665
9 6665 6680
9 6680 6695
9 6695 6710
9 6710 6735
9 6735 6760
9 6760 6785
9 6785 6810
9 6810 6825
9 6825 6840
9 6840 6865
9 6865 6880
9 6880 6895
9 6895 6920
10 6590 6605
10 6605 6620
10 6620 6635
10 6635 6650
10 6650 6665
10 6665 6680
10 6680 6695
10 6695 6710
10 6710 6725
10 6725 6750
10 6750 6765
10 6765 6780
10 6780 6805
10 6805 6830
10 6830 6845
10 6845 6860
10 6860 6875
10 6875 6890
10 6890 6915
10 6915 6930
10 6930 6955
14 6600 6625
14 6625 6640
14 6640 6665
14 6665 6680
14 6680 6695
14 6695 6720
14 6720 6735
14 6735 6750
14 6750 6775
14 6775 6790
14 6790 6805
14 6805 6820
14 6820 6835
14 6835 6860
14 6860 6885
14 6885 6910
14 6910 6925
14 6925 6940
14 6940 6955
14 6955 6980
6 6540 6565
6 6565 6580
6 6580 6595
6 6595 6610
6 6610 6625
6 6625 6650
6 6650 6675
6 6675 6700
6 6700 6725
6 6725 6750
6 6750 6765
6 6765 6780
6 6780 6805
6 6805 6820
6 6820 6845
6 6845 6870
6 6870 6885
6 6885 6900
6 6900 6915
6 6915 6940
6 6940 6965
6 6965 6980
7 6665 6680
7 6680 6705
7 6705 6720
7 6720 6745
7 6745 6760
7 6760 6775
7 6775 6790
7 6790 6805
7 6805 6830
7 6830 6845
7 6845 6870
7 6870 6885
7 6885 6900
7 6900 6915
7 6915 6930
7 6930 6945
7 6945 6970
7 6970 6995
7 6995 7020
7 7020 7035
11 6630 6655
11 6655 6670
11 6670 6695
11 6695 6720
11 6720 6745
11 6745 6770
11 6770 6795
11 6795 6810
11 6810 6825
11 6825 6850
11 6850 6865
11 6865 6890
11 6890 6915
11 6915 6930
11 6930 6955
11 6955 6980
11 6980 7005
11 7005 7020
11 7020 7035
12 6610 6625
12 6625 6640
12 6640 6665
12 6665 6680
12 6680 6695
12 6695 6720
12 6720 6735
12 6735 6760
12 6760 6775
12 6775 6790
12 6790 6805
12 6805 6820
12 6820 6845
12 6845 6860
12 6860 6875
12 6875 6890
12 6890 6915
12 6915 6940
12 6940 6965
12 6965 6980
12 6980 7005
5 6795 6810
5 6810 6825
5 6825 6840
5 6840 6855
5 6855 6880
5 6880 6895
5 6895 6910
5 6910 6935
5 6935 6950
5 6950 6965
5 6965 6980
5 6980 7005
5 7005 7020
5 7020 7035
5 7035 7050
5 7050 7075
5 7075 7090
5 7090 7115
5 7115 7130
5 7130 7155
15 6820 6835
15 6835 6860
15 6860 6875
15 6875 6890
15 6890 6915
15 6915 6930
15 6930 6945
15 6945 6960
15 6960 6975
15 6975 6990
15 6990 7015
15 7015 7030
15 7030 7045
15 7045 7070
15 7070 7095
15 7095 7120
15 7120 7135
15 7135 7160
1 6910 6925
1 6925 6940
1 6940 6965
1 6965 6980
1 6980 7005
1 7005 7020
1 7020 7035
1 7035 7060
1 7060 7075
1 7075 7090
1 7090 7105
1 7105 7120
1 7120 7135
1 7135 7150
1 7150 7165
1 7165 7180
1 7180 7205
8 6855 6870
8 6870 6885
8 6885 6900
8 6900 6925
8 6925 6950
8 6950 6965
8 6965 6980
8 6980 7005
8 7005 7030
8 7030 7045
8 7045 7060
8 7060 7085
8 7085 7100
8 7100 7115
8 7115 7140
8 7140 7155
8 7155 7180
8 7180 7205
8 7205 7220
8 7220 7245
8 7245 7270
0 6880 6895
0 6895 6920
0 6920 6945
0 6945 6960
0 6960 6985
0 6985 7010
0 7010 7035
0 7045 7060
0 7060 7075
0 7075 7090
0 7090 7105
0 7105 7130
0 7130 7145
0 7145 7160
0 7160 7185
0 7185 7200
0 7200 7225
0 7225 7250
0 7250 7275
0 7275 7290
0 7290 7305
0 7305 7330
2 6970 6985
2 6985 7000
2 7000 7025
2 7025 7040
2 7040 7055
2 7055 7070
2 7070 7095
2 7095 7120
2 7120 7135
2 7135 7150
2 7150 7175
2 7175 7200
2 7200 7215
2 7215 7230
2 7230 7245
2 7245 7260
2 7260 7285
2 7285 7310
2 7310 7335
2 7335 7360
2 7360 7375
3 6890 6905
3 6905 6920
3 6920 6945
3 6945 6960
3 6960 6975
3 6975 6990
3 6990 7005
3 7005 7030
3 7030 7045
3 7045 7070
3 7070 7095
3 7095 7120
3 7120 7145
3 7145 7160
3 7160 7175
3 7175 7200
3 7200 7215
3 7215 7240
3 7240 7265
3 7265 7280
3 7280 7305
3 7305 7320
3 7320 7335
3 7335 7350
3 7350 7375
3 7375 7400
10 6955 6970
10 6970 6985
10 6985 7010
10 7010 7035
10 7035 7050
10 7050 7065
10 7065 7090
10 7090 7115
10 7115 7130
10 7130 7155
10 7155 7170
10 7170 7185
10 7185 7200
10 7200 7215
10 7215 7240
10 7240 7255
10 7255 7270
10 7270 7295
10 7295 7320
10 7320 7335
10 7335 7350
13 6805 6820
13 6820 6845
13 6845 6860
13 6860 6885
13 6885 6900
13 6900 6915
13 6915 6940
13 6940 6955
13 6955 6970
13 6970 6985
13 6985 7000
13 7000 7015
13 7015 7040
13 7040 7055
13 7055 7070
13 7070 7095
13 7095 7110
13 7110 7125
13 7125 7140
13 7140 7165
13 7165 7180
13 7180 7195
13 7195 7220
13 7220 7245
13 7245 7260
13 7260 7275
13 7275 7300
13 7300 7325
6 6980 6995
6 6995 7010
6 7010 7025
6 7025 7040
6 7040 7065
6 7065 7080
6 7080 7105
6 7105 7120
6 7120 7135
6 7135 7160
6 7160 7175
6 7175 7190
6 7190 7205
6 7205 7230
6 7230 7245
6 7245 7270
6 7270 7295
6 7295 7310
6 7310 7325
6 7325 7350
6 7350 7365
6 7365 7380
6 7380 7395
7 7035 7050
7 7050 7065
7 7065 7080
7 7080 7095
7 7095 7110
7 7110 7125
7 7125 7150
7 7150 7165
7 7165 7180
7 7180 7195
7 7195 7210
7 7210 7225
7 7225 7240
7 7240 7265
7 7265 7290
7 7290 7305
7 7305 7320
7 7320 7335
7 7335 7350
7 7350 7365
7 7365 7380
7 7380 7405
9 6920 6945
9 6945 6960
9 6960 6975
9 6975 7000
9 7000 7015
9 7015 7030
9 7030 7045
9 7045 7070
9 7070 7095
9 7095 7110
9 7110 7125
9 7125 7140
9 7140 7165
9 7165 7180
9 7180 7205
9 7205 7230
9 7230 7245
9 7245 7260
9 7260 7285
9 7285 7300
9 7300 7315
9 7315 7330
9 7330 7355
9 7355 7370
9 7370 7395
14 6980 6995
14 6995 7010
14 7010 7025
14 7025 7050
14 7050 7065
14 7065 7080
14 7080 7095
14 7095 7120
14 7120 7135
14 7135 7160
14 7160 7175
14 7175 7190
14 7190 7205
14 7205 7230
14 7230 7255
14 7255 7270
14 7270 7295
14 7295 7320
14 7320 7345
14 7345 7360
14 7360 7375
14 7375 7400
14 7400 7415
1 7205 7220
1 7220 7235
1 7235 7250
1 7250 7265
1 7265 7290
1 7290 7305
1 7305 7320
1 7320 7335
1 7335 7360
1 7360 7375
1 7375 7400
1 7400 7425
1 7425 7440
1 7440 7455
1 7455 7470
1 7470 7485
1 7485 7510
5 7155 7180
5 7180 7205
5 7205 7220
5 7220 7235
5 7235 7250
5 7250 7265
5 7265 7280
5 7280 7295
5 7295 7310
5 7310 7335
5 7335 7360
5 7360 7375
5 7375 7390
5 7390 7405
5 7405 7430
5 7430 7445
5 7445 7470
5 7470 7495
5 7495 7520
11 7035 7050
11 7050 7065
11 7065 7080
11 7080 7095
11 7095 7120
11 7120 7135
11 7135 7160
11 7160 7175
11 7175 7190
11 7190 7215
11 7215 7240
11 7240 7255
11 7255 7270
11 7270 7285
11 7285 7310
11 7310 7325
11 7325 7350
11 7350 7365
11 7365 7390
11 7390 7415
11 7415 7430
11 7430 7445
11 7445 7470
11 7470 7485
11 7485 7510
12 7005 7020
12 7020 7035
12 7035 7050
12 7050 7075
12 7075 7100
12 7100 7125
12 7125 7150
12 7150 7165
12 7165 7180
12 7180 7205
12 7205 7230
12 7230 7245
12 7245 7270
12 7270 7285
12 7285 7310
12 7310 7335
12 7335 7360
12 7360 7375
12 7375 7400
12 7400 7415
12 7415 7430
12 7430 7455
12 7455 7470
12 7470 7485
12 7485 7510
12 7510 7535
12 7535 7560
15 7160 7185
15 7185 7200
15 7200 7225
15 7225 7240
15 7240 7255
15 7255 7270
15 7270 7295
15 7295 7320
15 7320 7335
15 7335 7350
15 7350 7365
15 7365 7380
15 7380 7395
15 7395 7410
15 7410 7425
15 7425 7450
15 7450 7475
15 7475 7500
15 7500 7515
15 7515 7530
15 7530 7555
15 7555 7570
15 7570 7595
15 7595 7610
0 7330 7355
0 7355 7380
0 7380 7395
0 7395 7420
0 7420 7445
0 7445 7460
0 7460 7475
0 7475 7500
0 7500 7525
0 7610 7635
0 7635 7660
8 7270 7285
8 7285 7300
8 7300 7315
8 7315 7340
8 7340 7365
8 7365 7390
8 7390 7405
8 7405 7420
8 7420 7445
8 7445 7470
8 7470 7485
8 7485 7500
8 7500 7515
8 7515 7530
8 7530 7555
8 7555 7570
8 7570 7585
8 7585 7610
8 7610 7625
8 7625 7650
8 7650 7665
8 7665 7680
8 7680 7695
7 7405 7430
7 7430 7445
7 7445 7460
7 7460 7475
7 7475 7500
7 7500 7515
7 7515 7530
7 7530 7545
7 7545 7560
7 7560 7575
7 7575 7590
7 7590 7615
7 7615 7640
7 7640 7655
7 7655 7670
7 7670 7685
7 7685 7710
7 7710 7735
7 7735 7760
10 7350 7375
10 7375 7400
10 7400 7415
10 7415 7440
10 7440 7455
10 7455 7470
10 7470 7495
10 7495 7520
10 7520 7535
10 7535 7550
10 7550 7575
10 7575 7590
10 7590 7605
10 7605 7630
10 7630 7645
10 7645 7660
10 7660 7675
10 7675 7700
10 7700 7715
10 7715 7730
10 7730 7755
10 7755 7770
1 7510 7535
1 7535 7550
1 7550 7565
1 7565 7580
1 7580 7595
1 7595 7610
1 7610 7625
1 7625 7650
1 7650 7675
1 7675 7690
1 7690 7705
1 7705 7720
1 7720 7735
1 7735 7760
1 7760 7775
1 7775 7790
1 7790 7805
1 7805 7830
2 7375 7400
2 7400 7415
2 7415 7430
2 7430 7445
2 7445 7470
2 7470 7485
2 7485 7510
2 7510 7535
2 7535 7560
2 7560 7585
2 7585 7610
2 7610 7625
2 7625 7650
2 7650 7665
2 7665 7680
2 7680 7705
2 7705 7720
2 7720 7735
2 7735 7760
2 7760 7775
2 7775 7790
2 7790 7805
2 7805 7820
2 7820 7835
9 7395 7420
9 7420 7435
9 7435 7460
9 7460 7475
9 7475 7490
9 7490 7505
9 7505 7530
9 7530 7555
9 7555 7570
9 7570 7595
9 7595 7620
9 7620 7645
9 7645 7660
9 7660 7685
9 7685 7700
9 7700 7715
9 7715 7730
9 7730 7745
9 7745 7770
9 7770 7785
9 7785 7810
13 7325 7340
13 7340 7355
13 7355 7370
13 7370 7395
13 7395 7420
13 7420 7435
13 7435 7450
13 7450 7465
13 7465 7480
13 7480 7505
13 7505 7530
13 7530 7555
13 7555 7580
13 7580 7595
13 7595 7620
13 7620 7645
13 7645 7660
13 7660 7685
13 7685 7700
13 7700 7715
13 7715 7740
13 7740 7765
13 7765 7790
13 7790 7815
13 7815 7840
13 7840 7855
14 7415 7440
14 7440 7455
14 7455 7480
14 7480 7505
14 7505 7530
14 7530 7555
14 7555 7570
14 7570 7595
14 7595 7620
14 7620 7645
14 7645 7670
14 7670 7685
14 7685 7700
14 7700 7725
14 7725 7740
14 7740 7765
14 7765 7780
14 7780 7805
14 7805 7830
14 7830 7845
14 7845 7870
14 7870 7885
5 7520 7535
5 7535 7560
5 7560 7585
5 7585 7600
5 7600 7615
5 7615 7630
5 7630 7645
5 7645 7660
5 7660 7675
5 7675 7690
5 7690 7715
5 7715 7730
5 7730 7755
5 7755 7780
5 7780 7805
5 7805 7820
5 7820 7835
5 7835 7860
5 7860 7875
5 7875 7890
5 7890 7915
5 7915 7930
5 7930 7955
5 7955 7980
6 7395 7410
6 7410 7435
6 7435 7450
6 7450 7465
6 7465 7480
6 7480 7495
6 7495 7520
6 7520 7545
6 7545 7570
6 7570 7595
6 7595 7620
6 7620 7635
6 7635 7650
6 7650 7675
6 7675 7690
6 7690 7705
6 7705 7720
6 7720 7735
6 7735 7750
6 7750 7765
6 7765 7790
6 7790 7805
6 7805 7820
6 7820 7845
6 7845 7860
6 7860 7875
6 7875 7900
6 7900 7925
6 7925 7940
6 7940 7965
11 7510 7535
11 7535 7550
11 7550 7565
11 7565 7580
11 7580 7595
11 7595 7610
11 7610 7635
11 7635 7650
11 7650 7665
11 7665 7690
11 7690 7705
11 7705 7730
11 7730 7745
11 7745 7770
11 7770 7785
11 7785 7800
11 7800 7815
11 7815 7830
11 7830 7845
11 7845 7870
11 7870 7895
11 7895 7910
11 7910 7925
11 7925 7950
11 7950 7975
3 7400 7415
3 7415 7440
3 7440 7455
3 7455 7480
3 7480 7505
3 7505 7530
3 7530 7555
3 7555 7580
3 7580 7605
3 7605 7620
3 7620 7645
3 7645 7670
3 7670 7695
3 7695 7720
3 7720 7745
3 7745 7770
3 7770 7795
3 7795 7810
3 7810 7825
3 7825 7850
3 7850 7865
3 7865 7890
3 7890 7915
3 7915 7940
3 7940 7965
3 7965 7990
3 7990 8015
3 8015 8040
3 8040 8065
4 7815 7840
12 7560 7575
12 7575 7600
12 7600 7625
12 7625 7640
12 7640 7665
12 7665 7690
12 7690 7705
12 7705 7720
12 7720 7745
12 7745 7760
12 7760 7775
12 7775 7790
12 7790 7805
12 7805 7820
12 7820 7835
12 7835 7850
12 7850 7865
12 7865 7880
12 7880 7895
12 7895 7910
12 7910 7925
12 7925 7940
12 7940 7965
12 7965 7980
12 7980 8005
12 8005 8020
12 8020 8045
15 7610 7635
15 7635 7660
15 7660 7685
15 7685 7700
15 7700 7715
15 7715 7740
15 7740 7755
15 7755 7780
15 7780 7795
15 7795 7820
15 7820 7835
15 7835 7850
15 7850 7875
15 7875 7900
15 7900 7925
15 7925 7940
15 7940 7955
15 7955 7980
15 7980 7995
15 7995 8010
15 8010 8035
15 8035 8050
0 7725 7750
0 7795 7810
0 7810 7825
0 7825 7840
0 7840 7865
0 7865 7890
0 7890 7915
0 7930 7945
0 7945 7970
0 7970 7995
0 7995 8010
0 8010 8035
0 8035 8060
0 8060 8075
0 8075 8090
0 8090 8115
0 8115 8140
8 7695 7720
8 7720 7735
8 7735 7750
8 7750 7775
8 7775 7790
8 7790 7815
8 7815 7830
8 7830 7845
8 7845 7860
8 7860 7885
8 7885 7910
8 7910 7935
8 7935 7950
8 7950 7975
8 7975 7990
8 7990 8005
8 8005 8020
8 8020 8035
8 8035 8050
8 8050 8075
1 7830 7845
1 7845 7860
1 7860 7875
1 7875 7890
1 7890 7905
1 7905 7930
1 7930 7945
1 7945 7970
1 7970 7985
1 7985 8000
1 8000 8015
1 8015 8030
1 8030 8045
1 8045 8070
1 8070 8095
1 8095 8120
1 8120 8135
1 8135 8150
1 8150 8165
1 8165 8180
1 8180 8205
7 7760 7775
7 7775 7790
7 7790 7815
7 7815 7830
7 7830 7845
7 7845 7860
7 7860 7875
7 7875 7900
7 7900 7915
7 7915 7930
7 7930 7945
7 7945 7970
7 7970 7985
7 7985 8000
7 8000 8025
7 8025 8050
7 8050 8075
7 8075 8100
7 8100 8115
7 8115 8140
7 8140 8155
7 8155 8170
7 8170 8185
10 7770 7785
10 7785 7800
10 7800 7815
10 7815 7840
10 7840 7865
10 7865 7890
10 7890 7905
10 7905 7920
10 7920 7945
10 7945 7970
10 7970 7995
10 7995 8010
10 8010 8035
10 8035 8050
10 8050 8075
10 8075 8090
10 8090 8115
10 8115 8140
10 8140 8155
10 8155 8170
10 8170 8195
4 8210 8235
9 7810 7835
9 7835 7850
9 7850 7865
9 7865 7880
9 7880 7895
9 7895 7910
9 7910 7925
9 7925 7950
9 7950 7975
9 7975 7990
9 7990 8015
9 8015 8040
9 8040 8065
9 8065 8080
9 8080 8095
9 8095 8120
9 8120 8145
9 8145 8170
9 8170 8195
9 8195 8220
9 8220 8245
9 8245 8260
9 8260 8275
9 8275 8290
9 8290 8315
2 7835 7860
2 7860 7885
2 7885 7900
2 7900 7925
2 7925 7940
2 7940 7965
2 7965 7980
2 7980 7995
2 7995 8020
2 8020 8035
2 8035 8050
2 8050 8065
2 8065 8080
2 8080 8105
2 8105 8120
2 8120 8145
2 8145 8170
2 8170 8185
2 8185 8200
2 8200 8215
2 8215 8230
2 8230 8255
2 8255 8280
2 8280 8295
2 8295 8320
2 8320 8345
13 7855 7880
13 7880 7905
13 7905 7920
13 7920 7935
13 7935 7950
13 7950 7965
13 7965 7990
13 7990 8005
13 8005 8030
13 8030 8055
13 8055 8080
13 8080 8095
13 8095 8120
13 8120 8145
13 8145 8160
13 8160 8175
13 8175 8200
13 8200 8215
13 8215 8240
13 8240 8255
13 8255 8270
13 8270 8295
13 8295 8320
13 8320 8345
13 8345 8370
13 8370 8385
13 8385 8410
14 7885 7910
14 7910 7925
14 7925 7950
14 7950 7965
14 7965 7980
14 7980 8005
14 8005 8020
14 8020 8035
14 8035 8050
14 8050 8075
14 8075 8090
14 8090 8115
14 8115 8140
14 8140 8155
14 8155 8180
14 8180 8195
14 8195 8210
14 8210 8235
14 8235 8250
14 8250 8275
14 8275 8290
14 8290 8315
14 8315 8330
14 8330 8355
11 7975 8000
11 8000 8015
11 8015 8030
11 8030 8055
11 8055 8070
11 8070 8085
11 8085 8100
11 8100 8125
11 8125 8150
11 8150 8175
11 8175 8190
11 8190 8215
11 8215 8230
11 8230 8255
